property_id,property_name,action_type,action,owner,expected_impact,effort
MF015,Southtown Station,Operations,Tune concessions and lead response by floor plan before the next lease-up review.,Southwest Region,113174.0,Medium
MF005,Live Oak Crossing,Pricing,"Run regional pricing review with comps, concessions, and weekly traffic source checks.",Central Region,106199.0,Medium
MF018,Catalina Pointe,Pricing,"Run regional pricing review with comps, concessions, and weekly traffic source checks.",South Region,64248.0,Medium
MF006,Riverbend,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",South Region,51274.0,High
MF008,Bluebonnet Flats,Pricing,"Run regional pricing review with comps, concessions, and weekly traffic source checks.",North Region,43582.0,Low
MF002,Mission Ridge,Operations,Tune concessions and lead response by floor plan before the next lease-up review.,South Region,38277.0,Low
MF012,The Alamo Lofts,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",North Region,36598.0,Low
MF014,Silverleaf,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",South Region,35915.0,Low
MF003,Parkline,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",Southwest Region,33256.0,High
MF009,Juniper Yard,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",Central Region,29142.0,Medium
MF013,Mariposa Commons,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",Central Region,25318.0,Low
MF010,Lantana Square,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",South Region,21522.0,Medium
MF001,Cedar Vista,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",Central Region,18817.0,Low
MF011,Mesa Verde,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",Southwest Region,18135.0,Medium
MF016,Avion Ridge,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",North Region,18070.0,Low
MF004,Alta Quarry,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",North Region,16141.0,Low
MF007,Canyon Commons,Operations,"Escalate NOI variance and isolate rent, vacancy, and concession drivers.",Southwest Region,12081.0,High
MF017,Hill Country Villas,Operations,Keep in normal weekly review and watch exposure risk.,Central Region,8225.0,High
