week_start,property_id,property_name,market,asset_stage,housing_type,units,occupancy,available_units,notices,traffic,tours,applications,signed_leases,renewals,asking_rent,effective_rent,concession_pct,avg_days_vacant,exposure_next_60,budget_noi,actual_noi
2026-01-04,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.945,17,4,83,37,15,10,2,1810.0,1801.0,0.0048,15.4,43,362615.0,335943.0
2026-01-11,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9442,18,5,63,22,7,4,2,1812.0,1807.0,0.0028,16.4,48,362615.0,335960.0
2026-01-18,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9524,15,9,89,41,16,11,4,1812.0,1806.0,0.0035,12.2,48,362615.0,339044.0
2026-01-25,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9739,8,6,46,20,6,4,4,1816.0,1815.0,0.0009,18.1,36,362615.0,348773.0
2026-02-01,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9578,13,4,89,38,16,11,2,1822.0,1809.0,0.0075,14.4,31,362615.0,341688.0
2026-02-08,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9752,8,5,48,24,10,5,3,1824.0,1824.0,0,16.2,41,362615.0,350552.0
2026-02-15,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9774,7,8,56,19,8,6,3,1824.0,1824.0,0,15.7,45,362615.0,351781.0
2026-02-22,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9589,13,5,85,31,9,6,3,1826.0,1816.0,0.0055,12.0,30,362615.0,343103.0
2026-03-01,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9653,11,5,93,32,9,6,2,1820.0,1802.0,0.0101,15.5,39,362615.0,342565.0
2026-03-08,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9562,14,6,93,48,13,7,3,1842.0,1837.0,0.0024,12.5,38,362615.0,346217.0
2026-03-15,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9697,10,7,72,35,15,11,4,1824.0,1816.0,0.0043,11.1,34,362615.0,346627.0
